"","Region","Nodes","Edges","Density","Programs"
"","Global",310,11925,0.248982148449734,256
"AM","AM",146,3978,0.375814832309872,97
"AP","AP",73,1075,0.409056316590563,33
"EU-ME-AF","EU-ME-AF",175,6609,0.434088669950739,126
